Course Round Hole,Grn Firmness,Grn Height,Stimp,AM Wind Spd,AM Wind Dir,PM Wind Spd,PM Wind Dir,Green Grass
Torrey Pines GC (South) - 1 - 1,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,IW,Poa annua
Torrey Pines GC (South) - 1 - 2,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 3,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 4,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 5,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 6,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 7,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 8,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,DW,Poa annua
Torrey Pines GC (South) - 1 - 9,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 10,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 11,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,IW,Poa annua
Torrey Pines GC (South) - 1 - 12,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 13,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,DW,Poa annua
Torrey Pines GC (South) - 1 - 14,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 15,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 16,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 1 - 17,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 1 - 18,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 2 - 1,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,IW,Poa annua
Torrey Pines GC (South) - 2 - 2,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 2 - 3,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
Torrey Pines GC (South) - 2 - 4,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,LR,Poa annua
Torrey Pines GC (South) - 2 - 5,Firm,0.9,12.5,  Var 3-6,SW, W 5-10,RL,Poa annua
