Event Player,Age,Position,Round 1 Score,Round 2 Score,Round 3 Score,Round 4 Score,Total Strokes,Total Rounds,Total Holes Over Par,Total Holes Under Par,GIR,Longest Drive,Total Putts,GIR Putts,Total One Putts,Total 3 Putts,Total Distance of Putts
"Safeway Open - Allan, Steve",43,999,72,76,0,0,148,2,6,3,26,332,64,50,9,1,1183
"Safeway Open - Ancer, Abraham",26,37,72,70,70,72,284,4,9,13,47,379,113,83,29,0,3320
"Safeway Open - Armour, Ryan",41,999,72,72,0,0,144,2,6,6,25,303,61,46,13,2,1740
"Safeway Open - Atkins, Matt",26,999,72,75,0,0,147,2,8,6,18,339,53,31,17,0,2053
"Safeway Open - Axley, Eric",43,999,72,75,0,0,147,2,8,5,20,314,58,37,13,1,1161
"Safeway Open - Baddeley, Aaron",36,999,73,71,0,0,144,2,6,7,23,321,59,43,15,4,1587
"Safeway Open - Bae, Sangmoon",31,999,73,75,0,0,148,2,8,4,25,319,62,49,8,2,1340
"Safeway Open - Barnes, Ricky",36,999,76,76,0,0,152,2,12,6,19,320,61,34,13,2,1428
"Safeway Open - Blair, Zac",27,30,69,66,74,74,283,4,7,12,50,331,115,90,29,2,3321
"Safeway Open - Blaum, Ryan",33,999,72,72,0,0,144,2,6,7,27,312,63,50,10,3,1345
"Safeway Open - Blixt, Jonas",33,54,71,70,70,76,287,4,14,15,43,328,114,73,31,1,3231
"Safeway Open - Bradley, Keegan",31,999,72,72,0,0,144,2,9,9,25,333,60,44,12,2,1266
"Safeway Open - Brown, Scott",34,62,69,74,75,71,289,4,10,10,50,356,120,93,24,2,2697
"Safeway Open - Burgoon, Bronson",30,17,70,68,69,74,281,4,9,16,50,356,114,87,30,2,4623
"Safeway Open - Campbell, Chad",43,68,70,72,72,77,291,4,11,8,45,354,121,84,25,2,2726
"Safeway Open - Cauley, Bud",27,7,69,69,66,74,278,4,6,16,54,360,115,94,28,1,3512
"Safeway Open - Cejka, Alex",46,999,75,74,0,0,149,2,9,6,19,310,57,33,16,1,2078
"Safeway Open - Chalmers, Greg",43,999,72,72,0,0,144,2,5,5,24,311,60,43,12,0,1820
"Safeway Open - Champ, Cameron",22,999,73,73,0,0,146,2,5,4,27,355,65,53,9,2,1378
"Safeway Open - Choi, K.J.",47,999,74,70,0,0,144,2,3,3,18,321,54,34,19,1,1819
"Safeway Open - Conners, Corey",25,30,70,69,70,74,283,4,8,13,53,361,120,98,25,3,3182
"Safeway Open - Crane, Ben",41,999,74,70,0,0,144,2,5,5,24,300,58,44,15,1,1758
"Safeway Open - Curran, Jon",30,999,74,74,0,0,148,2,7,4,23,310,59,44,12,1,1486
"Safeway Open - Dahmen, Joel",29,999,69,77,0,0,146,2,10,9,25,325,61,43,14,3,2020
"Safeway Open - Daly, John",51,72,74,69,71,79,293,4,16,16,45,380,117,80,23,2,2938
"Safeway Open - Davis, Brian",43,43,70,66,73,76,285,4,10,15,47,326,114,81,32,2,3711
"Safeway Open - de Jonge, Brendon",37,999,76,72,0,0,148,2,6,3,21,318,59,39,13,0,1692
"Safeway Open - DeChambeau, Bryson",24,17,73,69,67,72,281,4,10,17,53,382,119,97,28,5,3458
"Safeway Open - DeLaet, Graham",35,5,69,67,69,72,277,4,7,18,58,369,121,102,24,1,3321
"Safeway Open - Díaz, Roberto",30,999,80,0,0,0,80,1,7,1,7,298,30,14,7,1,795
"Safeway Open - Dou, Zecheng",20,999,73,73,0,0,146,2,7,6,23,321,60,42,15,3,1796
"Safeway Open - Dougherty, Kevin",26,999,76,72,0,0,148,2,8,6,22,344,60,41,14,2,1973
"Safeway Open - Duke, Ken",48,999,74,72,0,0,146,2,7,7,22,304,58,39,14,2,1666
"Safeway Open - Duncan, Tyler",28,5,65,66,71,75,277,4,14,23,47,362,112,79,32,4,3771
"Safeway Open - English, Harris",28,999,70,74,0,0,144,2,5,5,26,326,63,49,9,0,1572
"Safeway Open - Every, Matt",33,999,72,75,0,0,147,2,10,7,19,321,55,34,19,2,1623
"Safeway Open - Fathauer, Derek",31,999,75,77,0,0,152,2,12,6,15,314,55,26,16,1,1900
"Safeway Open - Finau, Tony",28,2,70,65,71,69,275,4,8,21,47,374,109,80,32,1,3151
"Safeway Open - Flores, Martin",35,65,70,67,76,77,290,4,14,13,39,346,112,68,34,2,3363
"Safeway Open - Garnett, Brice",34,17,73,68,69,71,281,4,10,17,53,354,117,93,30,3,3719
"Safeway Open - Garrigus, Robert",39,65,70,72,72,76,290,4,16,14,48,355,121,90,25,6,2880
"Safeway Open - Gay, Brian",45,999,75,72,0,0,147,2,11,8,20,305,56,34,18,2,1753
"Safeway Open - Giacomazzi, Dino",0,999,73,74,0,0,147,2,8,5,24,346,66,50,11,5,1885
"Safeway Open - Glover, Lucas",37,30,67,74,69,73,283,4,8,16,55,363,118,100,20,2,2732
"Safeway Open - Gómez, Fabián",38,43,71,70,70,74,285,4,10,13,46,342,112,81,29,1,3454
