Player,Avg SG Putting,Avg putts per round,one putt %,three putt %,Avg # of putts,2017 scoring avg,2018 scoring avg,2017 money,2018 money,world golf ranking,events
"Thompson, Michael",0.84,28.88,39.98,2.38,1.604,71.207,71.751,568991,99992,356,41
"Fowler, Rickie",0.761,28.3,43.64,2.85,1.572,69.083,69.496,6083197,1204250,7,47
"Donald, Luke",0.704,28.56,41.55,1.62,1.587,70.831,71.261,958850,68404,171,49
"McDowell, Graeme",0.576,28.32,42.96,3.27,1.573,70.629,71.502,639770,252341,208,52
"Harman, Brian",0.542,28.33,42.22,2.06,1.574,70.402,69.879,4396470,1532084,21,52
"Blixt, Jonas",0.536,28.16,43.81,2.78,1.564,71.283,72.881,1408288,134820,277,52
"Reed, Patrick",0.511,28.32,42,1.89,1.573,70.453,71.033,3055111,415110,25,52
"Lowry, Shane",0.488,29.61,36.96,3.63,1.645,70.667,71.985,831411,39581,73,51
"Wheatcroft, Steve",0.479,28.51,42.43,2.84,1.584,71.577,72.789,309518,21853,616,52
"Koepka, Brooks",0.475,28.44,42.29,2.78,1.58,69.847,72.667,5612397,739667,9,45
"Cabrera Bello, Rafa",0.47,28.85,39.72,2.96,1.603,70.693,69.913,1934675,763857,20,52
"Gribble, Cody",0.461,28.53,40.48,2.31,1.585,71.581,72.815,1305554,114975,336,52
"Gay, Brian",0.451,28.32,42.02,1.42,1.573,70.585,70.261,942372,935503,141,48
"Malnati, Peter",0.451,28.4,42.03,2.81,1.578,71.399,71.207,358541,126662,667,52
"Hadwin, Adam",0.446,28.56,42.52,2.78,1.587,70.583,71.657,3455012,749964,50,52
"Lingmerth, David",0.441,28.2,43.19,2.59,1.567,70.755,71.416,1070754,128475,157,52
"Kisner, Kevin",0.43,28.89,39.4,3.12,1.605,70.294,70.611,4766936,403806,31,52
"Kim, Whee",0.427,28.28,42.67,2.78,1.571,70.964,71.561,1125368,1106025,136,52
"Barber, Blayne",0.402,29.08,39.91,3.44,1.616,71.163,71.624,823082,97089,393,49
"Villegas, Camilo",0.4,28.31,43.29,3.16,1.573,70.881,72.499,971420,216173,392,52
"Henley, Russell",0.399,29.07,38.26,2.35,1.615,70.027,71.299,3413876,338496,55,50
"Johnson, Zach",0.39,28.56,41.77,2.31,1.587,70.393,69.706,2362968,536222,59,49
"Hurley III, Billy",0.374,28.76,40.49,3.13,1.598,71.176,72.486,719579,45163,279,52
"Reavie, Chez",0.372,28.71,39.53,2.16,1.595,70.244,69.88,1819207,1917173,43,52
"Snedeker, Brandt",0.361,28.62,41.11,3.44,1.59,70.055,70.501,1625806,203883,67,43
"English, Harris",0.352,28.78,39.11,2.63,1.599,70.848,71.313,864959,342044,226,52
"Mickelson, Phil",0.337,28.25,41.18,2.01,1.569,70.168,69.787,2102599,1459197,32,48
"Lindheim, Nicholas",0.336,29.25,40.97,4.17,1.625,72.205,71.362,175107,310815,309,52
"Blaum, Ryan",0.334,28.82,40.57,2.55,1.601,70.866,71.479,962768,240261,340,52
"Perez, Pat",0.333,28.69,40.99,2.59,1.594,70.25,70.043,4361400,2032227,18,40
"Leishman, Marc",0.333,28.73,39.01,2.28,1.596,69.468,70.409,5866391,1515758,14,52
"Day, Jason",0.332,28.26,43.27,2.95,1.57,70.115,69.473,2978181,2073900,8,41
"Schauffele, Xander",0.324,29.07,39.86,3.08,1.615,70.163,71.072,4312674,871906,22,52
"Cink, Stewart",0.321,29.2,38.77,2.87,1.622,70.213,70.774,1463922,324281,147,47
"Spieth, Jordan",0.32,28.45,41.45,1.99,1.58,68.846,69.971,9433033,520630,3,49
"Chalmers, Greg",0.316,28.17,42.25,2.35,1.565,71.758,72.472,344631,37215,492,52
"Els, Ernie",0.312,28.6,41.45,1.71,1.589,72.179,71.902,155926,16003,620,52
"Bryan, Wesley",0.294,28.13,42.98,2.32,1.563,71.062,72.115,2495751,243183,80,52
"DeLaet, Graham",0.291,29.41,36.4,2.56,1.634,70.376,71.857,1603666,251630,128,42
"Thomas, Justin",0.289,28.25,43.67,2.6,1.57,69.359,69.804,9921560,2231800,4,52
