Course Round Player,Course Par,Course Yardage,Tee Time,Round Score,End of Round Finish Pos,End of Event Pos,Eagles - Round,Birdies - Round,Pars - Round,Bogeys - Round,Doubles - Round,Others - Round,Total Holes Over Par - Round,Longest Drive - Round,GIR - Round,Total Putts - Round,GIR Putts - Round,Total One Putts - Round,Total 3 Putts - Round,Total Distance of Putts - Round
"Silverado Resort and Spa North - 1 - Mickelson, Phil",72,7166,12:40,69,12,3,0,5,11,2,0,0,2,338,14,30,25,4,0,565
"Silverado Resort and Spa North - 1 - Pride, Dicky",72,7166,8:10,72,61,999,0,1,16,1,0,0,1,296,13,30,26,5,1,567
"Silverado Resort and Spa North - 1 - Campbell, Chad",72,7166,12:20,70,24,68,0,4,12,2,0,0,2,317,14,30,25,7,1,808
"Silverado Resort and Spa North - 1 - Armour, Ryan",72,7166,13:00,72,61,999,0,2,14,2,0,0,2,303,13,31,25,6,1,604
"Silverado Resort and Spa North - 1 - Gay, Brian",72,7166,12:30,75,120,999,0,3,9,6,0,0,6,302,7,26,12,11,1,1024
"Silverado Resort and Spa North - 1 - Duke, Ken",72,7166,13:00,74,108,999,0,3,11,3,1,0,4,304,12,31,22,4,1,537
"Silverado Resort and Spa North - 1 - Wi, Charlie",72,7166,12:10,72,61,999,0,2,14,2,0,0,2,305,11,29,22,6,1,1327
"Silverado Resort and Spa North - 1 - Cejka, Alex",72,7166,8:20,75,120,999,0,4,8,5,1,0,6,310,10,29,17,8,1,1224
"Silverado Resort and Spa North - 1 - Chalmers, Greg",72,7166,8:00,72,61,999,0,3,12,3,0,0,3,301,12,30,21,6,0,951
"Silverado Resort and Spa North - 1 - Allan, Steve",72,7166,13:50,72,61,999,0,2,14,2,0,0,2,332,14,32,26,4,0,800
"Silverado Resort and Spa North - 1 - Davis, Brian",72,7166,7:20,70,24,43,0,2,16,0,0,0,0,308,10,26,18,10,0,1198
"Silverado Resort and Spa North - 1 - Baddeley, Aaron",72,7166,7:50,73,87,999,0,3,12,2,1,0,3,300,10,29,18,9,2,1074
"Silverado Resort and Spa North - 1 - Thompson, Kyle",72,7166,13:50,76,131,999,0,3,8,7,0,0,7,312,14,36,29,4,4,754
"Silverado Resort and Spa North - 1 - Gore, Jason",72,7166,8:10,82,144,999,0,2,8,5,2,1,8,310,12,38,26,3,4,625
"Silverado Resort and Spa North - 1 - Rollins, John",72,7166,7:20,76,131,999,0,2,10,6,0,0,6,310,10,32,20,3,1,663
"Silverado Resort and Spa North - 1 - Axley, Eric",72,7166,12:20,72,61,999,0,3,12,3,0,0,3,314,10,28,19,7,1,515
"Silverado Resort and Spa North - 1 - Taylor, Vaughn",72,7166,8:00,73,87,999,0,2,14,1,1,0,2,308,15,33,28,3,0,803
"Silverado Resort and Spa North - 1 - Crane, Ben",72,7166,8:00,74,108,999,0,1,14,3,0,0,3,290,12,31,24,6,1,822
"Silverado Resort and Spa North - 1 - Sabbatini, Rory",72,7166,12:20,73,87,999,0,6,6,5,1,0,6,323,13,32,23,8,4,1515
"Silverado Resort and Spa North - 1 - de Jonge, Brendon",72,7166,12:10,76,131,999,0,1,13,3,1,0,4,318,8,28,15,8,0,1043
"Silverado Resort and Spa North - 1 - Johnson, Zach",72,7166,7:50,68,8,13,0,5,12,1,0,0,1,325,16,30,27,6,0,1039
"Silverado Resort and Spa North - 1 - Choi, K.J.",72,7166,8:00,74,108,999,0,0,16,2,0,0,2,309,7,27,15,10,1,950
"Silverado Resort and Spa North - 1 - Garrigus, Robert",72,7166,13:10,70,24,65,0,4,12,2,0,0,2,346,14,30,27,6,2,727
"Silverado Resort and Spa North - 1 - Mahan, Hunter",72,7166,12:50,70,24,13,0,5,10,3,0,0,3,330,15,29,26,8,1,1129
"Silverado Resort and Spa North - 1 - Barnes, Ricky",72,7166,8:00,76,131,999,0,2,11,4,1,0,5,320,8,29,15,8,1,704
"Silverado Resort and Spa North - 1 - Haas, Bill",72,7166,12:10,72,61,17,0,5,8,5,0,0,5,323,14,32,25,6,2,784
"Silverado Resort and Spa North - 1 - Points, D.A.",72,7166,7:40,73,87,999,0,2,13,3,0,0,3,320,9,28,17,6,0,702
"Silverado Resort and Spa North - 1 - Pettersson, Carl",72,7166,8:10,76,131,999,0,1,12,5,0,0,5,296,9,30,18,7,1,564
"Silverado Resort and Spa North - 1 - Na, Kevin",72,7166,8:20,71,47,37,0,3,14,0,1,0,1,304,13,30,24,6,0,737
"Silverado Resort and Spa North - 1 - Taylor, Nick",72,7166,8:10,71,47,9,0,3,13,2,0,0,2,291,10,26,18,9,1,1125
"Silverado Resort and Spa North - 1 - Piercy, Scott",72,7166,8:10,70,24,17,0,5,10,3,0,0,3,309,12,28,19,8,0,1384
"Silverado Resort and Spa North - 1 - Summerhays, Daniel",72,7166,12:50,72,61,999,0,5,9,3,1,0,4,324,13,30,21,6,0,1023
"Silverado Resort and Spa North - 1 - Wheatcroft, Steve",72,7166,13:10,72,61,59,0,4,11,2,1,0,3,314,13,30,22,6,0,862
"Silverado Resort and Spa North - 1 - Glover, Lucas",72,7166,7:30,67,4,30,0,6,11,1,0,0,1,323,15,27,26,6,1,875
"Silverado Resort and Spa North - 1 - Jones, Matt",72,7166,8:00,72,61,43,0,3,14,0,0,1,1,315,17,32,31,4,0,755
"Silverado Resort and Spa North - 1 - Reavie, Chez",72,7166,12:00,67,4,13,0,7,9,2,0,0,2,316,16,29,27,6,1,726
"Silverado Resort and Spa North - 1 - Moore, Ryan",72,7166,12:40,68,8,17,0,4,14,0,0,0,0,351,15,29,26,7,0,1148
"Silverado Resort and Spa North - 1 - Hearn, David",72,7166,7:30,71,47,54,0,3,13,2,0,0,2,324,11,27,19,9,0,1029
"Silverado Resort and Spa North - 1 - Wagner, Johnson",72,7166,12:50,70,24,999,0,5,11,1,1,0,2,313,11,27,19,6,1,770
"Silverado Resort and Spa North - 1 - List, Luke",72,7166,13:10,72,61,37,0,3,12,3,0,0,3,354,13,31,25,6,1,529
"Silverado Resort and Spa North - 1 - Streelman, Kevin",72,7166,13:00,69,12,13,0,6,9,3,0,0,3,311,16,31,28,7,2,1268
"Silverado Resort and Spa North - 1 - DeLaet, Graham",72,7166,7:10,69,12,5,0,6,9,3,0,0,3,313,16,31,28,6,1,1013
"Silverado Resort and Spa North - 1 - Potter, Jr., Ted",72,7166,8:10,72,61,28,0,1,16,1,0,0,1,306,12,29,23,7,0,893
"Silverado Resort and Spa North - 1 - Villegas, Camilo",72,7166,7:10,73,87,73,0,3,11,4,0,0,4,294,11,29,22,7,2,797
"Silverado Resort and Spa North - 1 - Blixt, Jonas",72,7166,12:30,71,47,54,0,4,11,3,0,0,3,314,10,27,16,9,0,789
"Silverado Resort and Spa North - 1 - Laird, Martin",72,7166,7:30,71,47,17,0,4,12,1,1,0,2,385,13,31,23,6,1,725
"Silverado Resort and Spa North - 1 - Oppenheim, Rob",72,7166,8:50,77,139,999,0,2,10,5,1,0,6,304,13,34,26,4,2,794
"Silverado Resort and Spa North - 1 - Blaum, Ryan",72,7166,13:00,72,61,999,0,5,9,3,1,0,4,312,13,31,22,7,2,863
"Silverado Resort and Spa North - 1 - Stroud, Chris",72,7166,7:40,75,120,999,0,2,12,3,1,0,4,315,11,30,21,7,1,679
"Silverado Resort and Spa North - 1 - Kang, Sung",72,7166,7:30,73,87,62,0,4,9,5,0,0,5,308,12,30,22,5,1,634
"Silverado Resort and Spa North - 1 - Van Aswegen, Tyrone",72,7166,7:10,71,47,9,0,3,13,2,0,0,2,314,13,30,23,6,0,684
"Silverado Resort and Spa North - 1 - Power, Seamus",72,7166,9:00,70,24,999,0,4,12,2,0,0,2,322,13,30,23,6,0,886
"Silverado Resort and Spa North - 1 - Bae, Sangmoon",72,7166,12:30,73,87,999,0,3,11,4,0,0,4,319,14,32,27,4,2,826
"Silverado Resort and Spa North - 1 - Every, Matt",72,7166,8:20,72,61,999,0,4,10,4,0,0,4,319,10,28,17,9,1,957
"Silverado Resort and Spa North - 1 - Flores, Martin",72,7166,12:20,70,24,65,0,4,12,2,0,0,2,341,13,30,24,7,1,801
