Course Hole,Avg Score,Avg O/U Par,Eagle,Birdie,Pars,Bogey,Dbl Bogey,Other,2017 Average,2018 rd 1,2018 rd 2,2018 rd 3,2018 rd 4,2018 Average
Torrey Pines GC (South) - 12,4.41,0.41,0,17,163,116,14,0,72.268,71.462,72.09,72.208,74.779,72.343
El Camaleon GC - 14,4.373,0.373,1,19,253,113,24,5,69.609,70.348,70.504,70.654,69.654,70.323
Riviera CC - 12,4.362,0.362,0,26,254,135,17,4,71.012,72.203,72.135,70.605,71.382,71.759
CC of Jackson - 16,4.348,0.348,0,25,248,107,24,4,71.058,71.542,71.654,72.12,72.333,71.828
Torrey Pines GC (South) - 4,4.329,0.329,0,24,173,100,13,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Summerlin - 3,4.324,0.324,0,36,257,121,25,2,69.623,71.174,72.284,72.192,70.231,71.542
El Camaleon GC - 16,4.308,0.308,0,26,251,123,14,1,69.609,70.348,70.504,70.654,69.654,70.323
Stadium Course - 13,3.302,0.302,0,29,133,49,13,8,70.787,69.316,69.323,70.805,71.234,70.015
Torrey Pines GC (South) - 7,4.287,0.287,0,22,189,87,12,0,72.268,71.462,72.09,72.208,74.779,72.343
Spyglass Hill GC - 5,3.279,0.279,0,9,101,36,8,0,71.801,70.699,71.161,71.994,72.053,71.389
Monterey Peninsula CC - 7,3.277,0.277,0,6,103,43,3,0,71.801,70.699,71.161,71.994,72.053,71.389
Torrey Pines (North) - 3,3.276,0.276,0,1,113,40,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Torrey Pines (North) - 4,4.276,0.276,0,10,94,51,1,0,72.268,71.462,72.09,72.208,74.779,72.343
Riviera CC - 15,4.257,0.257,1,25,279,123,8,0,71.012,72.203,72.135,70.605,71.382,71.759
Spyglass Hill GC - 8,4.253,0.253,0,16,95,33,8,2,71.801,70.699,71.161,71.994,72.053,71.389
Torrey Pines (North) - 18,4.25,0.25,0,15,89,50,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Torrey Pines GC (South) - 15,4.245,0.245,1,22,193,88,6,0,72.268,71.462,72.09,72.208,74.779,72.343
Pebble Beach GL - 8,4.242,0.242,0,25,137,59,8,2,71.801,70.699,71.161,71.994,72.053,71.389
Torrey Pines (North) - 2,4.237,0.237,0,12,96,47,1,0,72.268,71.462,72.09,72.208,74.779,72.343
La Quinta CC - 15,3.234,0.234,0,7,108,35,4,0,70.787,69.316,69.323,70.805,71.234,70.015
Waialae CC - 13,4.232,0.232,0,33,277,124,4,1,68.309,69.208,69.224,68.408,68.171,68.895
Torrey Pines GC (South) - 11,3.232,0.232,0,16,209,82,3,0,72.268,71.462,72.09,72.208,74.779,72.343
Silverado Resort and Spa North - 7,3.225,0.225,0,34,280,112,10,0,70.827,71.965,71.035,70.787,73.693,71.757
Stadium Course - 6,3.224,0.224,0,27,138,57,8,2,70.787,69.316,69.323,70.805,71.234,70.015
Pebble Beach GL - 9,4.221,0.221,0,18,149,59,5,0,71.801,70.699,71.161,71.994,72.053,71.389
Pebble Beach GL - 12,3.221,0.221,0,18,149,59,5,0,71.801,70.699,71.161,71.994,72.053,71.389
Torrey Pines (North) - 12,3.218,0.218,0,11,107,31,7,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Summerlin - 17,3.215,0.215,0,44,282,91,24,0,69.623,71.174,72.284,72.192,70.231,71.542
CC of Jackson - 12,4.213,0.213,0,41,250,107,9,1,71.058,71.542,71.654,72.12,72.333,71.828
Torrey Pines (North) - 13,4.205,0.205,0,17,98,33,8,0,72.268,71.462,72.09,72.208,74.779,72.343
TPC Summerlin - 8,3.2,0.2,0,28,303,105,4,1,69.623,71.174,72.284,72.192,70.231,71.542
Sea Island Resort (Plantation) - 13,4.2,0.2,0,8,113,30,3,1,69.184,69.761,70.297,68.466,69.425,69.682
La Quinta CC - 14,4.195,0.195,1,15,96,37,5,0,70.787,69.316,69.323,70.805,71.234,70.015
Spyglass Hill GC - 6,4.195,0.195,0,14,99,38,3,0,71.801,70.699,71.161,71.994,72.053,71.389
Riviera CC - 4,3.193,0.193,0,29,302,98,6,1,71.012,72.203,72.135,70.605,71.382,71.759
Silverado Resort and Spa North - 2,3.188,0.188,0,32,293,108,3,0,70.827,71.965,71.035,70.787,73.693,71.757
Sea Island Resort (Plantation) - 15,3.187,0.187,0,10,115,21,9,0,69.184,69.761,70.297,68.466,69.425,69.682
TPC Summerlin - 11,4.186,0.186,0,40,292,97,11,1,69.623,71.174,72.284,72.192,70.231,71.542
Torrey Pines (North) - 8,3.186,0.186,0,15,99,40,2,0,72.268,71.462,72.09,72.208,74.779,72.343
Plantation Course at Kapalua - 2,3.184,0.184,0,10,92,33,1,0,70.375,71.912,70.971,71.412,70.588,71.221
Pebble Beach GL - 5,3.182,0.182,0,23,149,53,6,0,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Plantation) - 10,4.181,0.181,0,12,112,25,4,2,69.184,69.761,70.297,68.466,69.425,69.682
Silverado Resort and Spa North - 3,4.179,0.179,0,51,277,90,15,3,70.827,71.965,71.035,70.787,73.693,71.757
Riviera CC - 18,4.179,0.179,0,40,288,99,8,1,71.012,72.203,72.135,70.605,71.382,71.759
El Camaleon GC - 1,4.178,0.178,0,49,269,79,10,8,69.609,70.348,70.504,70.654,69.654,70.323
TPC Scottsdale - 11,4.178,0.178,0,38,273,78,13,2,70.192,70.893,70.047,69.903,70.208,70.324
TPC Scottsdale - 14,4.178,0.178,0,38,265,93,7,1,70.192,70.893,70.047,69.903,70.208,70.324
Riviera CC - 2,4.177,0.177,0,39,289,101,6,1,71.012,72.203,72.135,70.605,71.382,71.759
Waialae CC - 6,4.175,0.175,0,53,269,105,11,1,68.309,69.208,69.224,68.408,68.171,68.895
Torrey Pines GC (South) - 17,4.171,0.171,0,33,198,72,7,0,72.268,71.462,72.09,72.208,74.779,72.343
El Camaleon GC - 18,4.169,0.169,0,27,300,79,9,0,69.609,70.348,70.504,70.654,69.654,70.323
Plantation Course at Kapalua - 1,4.169,0.169,0,5,104,26,1,0,70.375,71.912,70.971,71.412,70.588,71.221
TPC Scottsdale - 5,4.168,0.168,0,40,275,73,13,3,70.192,70.893,70.047,69.903,70.208,70.324
Riviera CC - 5,4.165,0.165,0,47,286,89,12,2,71.012,72.203,72.135,70.605,71.382,71.759
CC of Jackson - 8,4.162,0.162,0,45,261,93,9,0,71.058,71.542,71.654,72.12,72.333,71.828
Spyglass Hill GC - 16,4.162,0.162,0,13,107,31,2,1,71.801,70.699,71.161,71.994,72.053,71.389
Sea Island Resort (Plantation) - 11,3.161,0.161,0,11,111,30,3,0,69.184,69.761,70.297,68.466,69.425,69.682
Riviera CC - 13,4.161,0.161,0,37,297,97,5,0,71.012,72.203,72.135,70.605,71.382,71.759
TPC Summerlin - 6,4.156,0.156,1,56,282,80,19,3,69.623,71.174,72.284,72.192,70.231,71.542
Monterey Peninsula CC - 8,4.155,0.155,0,16,102,34,3,0,71.801,70.699,71.161,71.994,72.053,71.389
CC of Jackson - 4,3.154,0.154,0,37,276,90,5,0,71.058,71.542,71.654,72.12,72.333,71.828
Torrey Pines (North) - 15,3.154,0.154,0,19,95,41,1,0,72.268,71.462,72.09,72.208,74.779,72.343
Sea Island Resort (Seaside) - 14,4.153,0.153,0,33,198,61,9,0,69.184,69.761,70.297,68.466,69.425,69.682
Riviera CC - 14,3.151,0.151,0,33,307,93,3,0,71.012,72.203,72.135,70.605,71.382,71.759
Torrey Pines GC (South) - 14,4.148,0.148,0,33,206,63,8,0,72.268,71.462,72.09,72.208,74.779,72.343
Monterey Peninsula CC - 9,3.148,0.148,0,26,83,43,3,0,71.801,70.699,71.161,71.994,72.053,71.389
Pebble Beach GL - 10,4.143,0.143,0,25,158,41,4,3,71.801,70.699,71.161,71.994,72.053,71.389
Riviera CC - 9,4.142,0.142,0,44,292,94,6,0,71.012,72.203,72.135,70.605,71.382,71.759
Waialae CC - 11,3.141,0.141,0,39,301,97,2,0,68.309,69.208,69.224,68.408,68.171,68.895
Sea Island Resort (Seaside) - 3,3.14,0.14,0,30,203,64,4,0,69.184,69.761,70.297,68.466,69.425,69.682
Plantation Course at Kapalua - 13,4.14,0.14,0,13,94,26,3,0,70.375,71.912,70.971,71.412,70.588,71.221
Riviera CC - 8,4.14,0.14,0,49,292,83,9,3,71.012,72.203,72.135,70.605,71.382,71.759
Stadium Course - 15,4.138,0.138,0,20,165,42,5,0,70.787,69.316,69.323,70.805,71.234,70.015
TPC Summerlin - 4,4.132,0.132,0,43,304,89,3,2,69.623,71.174,72.284,72.192,70.231,71.542
